# cobalt, G_ep from spin-resolved DFT, sum of majo and mino G_ep, calculations by Jan Vorberger
# T [K] 	   G_ep [W/(m^3K)]
   3.7920000e+03   3.4571659e+18
   3.8162500e+03   3.4423408e+18
   3.8405000e+03   3.4778579e+18
   3.8647500e+03   3.5105472e+18
   3.8890000e+03   3.4985009e+18
   3.9132500e+03   3.5082366e+18
   3.9375000e+03   3.5174047e+18
   3.9617500e+03   3.5275321e+18
   3.9860000e+03   3.5382189e+18
   4.0102500e+03   3.5465348e+18
   4.0345000e+03   3.5557529e+18
   4.0587500e+03   3.5649495e+18
   4.0830000e+03   3.5739583e+18
   4.1072500e+03   3.5828259e+18
   4.1315000e+03   3.5915596e+18
   4.1557500e+03   3.5833857e+18
   4.1800000e+03   3.6081374e+18
   4.2042500e+03   3.5723354e+18
   4.2285000e+03   3.6253341e+18
   4.2527500e+03   3.6334331e+18
   4.2770000e+03   3.6414131e+18
   4.3012500e+03   3.6491598e+18
   4.3255000e+03   3.6568623e+18
   4.3497500e+03   3.6644943e+18
   4.3740000e+03   2.6634350e+18
   4.3982500e+03   3.6570436e+18
   4.4225000e+03   3.6866740e+18
   4.4467500e+03   3.6938498e+18
   4.4710000e+03   3.6972174e+18
   4.4952500e+03   3.7089252e+18
   4.5195000e+03   3.7107198e+18
   4.5437500e+03   3.7211570e+18
   4.5680000e+03   3.7276614e+18
   4.5922500e+03   3.7340470e+18
   4.6165000e+03   3.7403158e+18
   4.6407500e+03   3.7464681e+18
   4.6650000e+03   3.7524926e+18
   4.6892500e+03   3.7583895e+18
   4.7135000e+03   3.7640229e+18
   4.7377500e+03   3.7696983e+18
   4.7620000e+03   3.7752583e+18
   4.7862500e+03   3.7806769e+18
   4.8105000e+03   3.7860251e+18
   4.8347500e+03   3.7900836e+18
   4.8590000e+03   3.7951912e+18
   4.8832500e+03   3.8014638e+18
   4.9075000e+03   3.8063558e+18
   4.9317500e+03   3.8111354e+18
   4.9560000e+03   3.8148012e+18
   4.9802500e+03   3.8222370e+18
   5.0045000e+03   3.8248538e+18
   5.0287500e+03   3.8379741e+18
   5.0530000e+03   3.8334701e+18
   5.0772500e+03   3.8375977e+18
   5.1015000e+03   3.8415836e+18
   5.1257500e+03   3.8455069e+18
   5.1500000e+03   3.8491468e+18
   5.1742500e+03   3.8523015e+18
   5.1985000e+03   3.8561683e+18
   5.2227500e+03   3.8600131e+18
   5.2470000e+03   3.8634048e+18
   5.2712500e+03   3.8658013e+18
   5.2955000e+03   3.8700260e+18
   5.3197500e+03   3.8733194e+18
   5.3440000e+03   3.8764260e+18
   5.3682500e+03   3.8797499e+18
   5.3925000e+03   3.8834033e+18
   5.4167500e+03   3.8872107e+18
   5.4410000e+03   3.8832611e+18
   5.4652500e+03   3.8945549e+18
   5.4895000e+03   3.8980875e+18
   5.5137500e+03   3.9022574e+18
   5.5380000e+03   3.9017121e+18
   5.5622500e+03   3.9078567e+18
   5.5865000e+03   3.9109606e+18
   5.6107500e+03   3.9113432e+18
   5.6350000e+03   3.9163677e+18
   5.6592500e+03   3.9189326e+18
   5.6835000e+03   3.9214214e+18
   5.7077500e+03   3.9237839e+18
   5.7320000e+03   3.9260383e+18
   5.7562500e+03   3.9281654e+18
   5.7805000e+03   3.9379291e+18
   5.8047500e+03   3.9323802e+18
   5.8290000e+03   3.9407643e+18
   5.8532500e+03   3.9361051e+18
   5.8775000e+03   3.9378730e+18
   5.9017500e+03   3.9395682e+18
   5.9260000e+03   3.9411625e+18
   5.9502500e+03   3.9434375e+18
   5.9745000e+03   3.9441880e+18
   5.9987500e+03   3.9455866e+18
   6.0230000e+03   3.9468624e+18
   6.0472500e+03   3.9480869e+18
   6.0715000e+03   3.9256615e+18
   6.0957500e+03   3.9503399e+18
   6.1200000e+03   3.9513496e+18
   6.1442500e+03   3.9522459e+18
   6.1685000e+03   3.9531133e+18
   6.1927500e+03   3.9539572e+18
   6.2170000e+03   3.9546872e+18
   6.2412500e+03   3.9553521e+18
   6.2655000e+03   3.9567262e+18
   6.2897500e+03   3.9577923e+18
   6.3140000e+03   3.9331161e+18
   6.3382500e+03   3.9334533e+18
   6.3625000e+03   3.9577934e+18
   6.3867500e+03   3.9581022e+18
   6.4110000e+03   3.9583242e+18
