Ab initio lattice heat capacity of accoustic phonons from Sukanyas monolayer DFT
Temperature [K]	C_p [J/m^3K]
173	272345.53904904885
174	272420.9765610416
175	272495.14979142166
176	272568.0866724223
177	272639.8143736406
178	272710.359326757
179	272779.74724928406
180	272848.00316749606
181	272915.15143844485
182	272981.2157712021
183	273046.21924733056
184	273110.1843406007
185	273173.13293593
186	273235.0863478304
187	273296.06533786847
188	273356.0901319095
189	273415.1804363421
190	273473.355454055
191	273530.63389965263
192	273587.03401424346
193	273642.57357955805
194	273697.2699319169
195	273751.13997522386
196	273804.2001939555
197	273856.46666551736
198	273907.95507205615
199	273958.6807121984
200	274008.6585120212
201	274057.9030359809
202	274106.42849721294
203	274154.24876769364
204	274201.3773879193
205	274247.8275763297
206	274293.61223845475
207	274338.7439756867
208	274383.2350938189
209	274427.09761127294
210	274470.34326710715
211	274512.98352875473
212	274555.0295994035
213	274596.4924253715
214	274637.3827030512
215	274677.71088563907
216	274717.4871898503
217	274756.72160215967
218	274795.42388503347
219	274833.60358293226
220	274871.2700279978
221	274908.43234586343
222	274945.099460848
223	274981.28010148206
224	275016.98280545505
225	275052.215924656
226	275086.98762994853
227	275121.30591590406
228	275155.17860525625
229	275188.61335336085
230	275221.61765238986
231	275254.1988355791
232	275286.3640810994
233	275318.120416117
234	275349.4747204755
235	275380.43373036693
236	275411.0040420084
237	275441.1921149649
238	275471.00427563034
239	275500.44672046165
240	275529.5255191602
241	275558.2466177385
242	275586.61584155395
243	275614.638898216
244	275642.32138042257
245	275669.66876870376
246	275696.68643414474
247	275723.3796408917
248	275749.75354884774
249	275775.8132159744
250	275801.5636007825
251	275827.0095646211
252	275852.1558740166
253	275877.007202769
254	275901.5681341774
255	275925.8431631277
256	275949.83669807465
257	275973.5530631004
258	275996.99649977335
259	276020.17116903927
260	276043.08115307556
261	276065.7304570107
262	276088.12301077443
263	276110.2626706229
264	276132.15322096087
265	276153.7983757297
266	276175.2017801721
267	276196.36701223865
268	276217.2975841024
269	276237.996943609
270	276258.4684755506
271	276278.7155033241
272	276298.74129000487
273	276318.549039745
274	276338.14189897187
275	276357.5229578707
276	276376.6952511986
277	276395.6617598136
278	276414.4254116368
279	276432.9890828164
280	276451.3555988544
281	276469.52773557353
282	276487.50822026416
283	276505.2997326785
284	276522.9049059697
285	276540.32632764144
286	276557.5665406772
287	276574.6280441102
288	276591.51329432405
289	276608.2247056358
290	276624.7646512446
291	276641.1354641032
292	276657.33943771094
293	276673.3788268647
294	276689.25584852835
295	276704.9726824578
296	276720.53147211304
297	276735.93432527565
298	276751.18331466935
299	276766.2804789561
300	276781.2278230102
301	276796.0273189142
302	276810.68090645754
303	276825.19049368607
304	276839.5579577331
305	276853.78514528513
306	276867.8738730806
307	276881.8259287617
308	276895.6430710989
309	276909.32703082124
310	276922.8795110935
311	276936.30218778696
312	276949.59671043005
313	276962.7647023172
314	276975.80776127416
315	276988.7274599841
316	277001.525346453
317	277014.202944678
318	277026.76175467717
319	277039.2032535572
320	277051.5288952163
321	277063.74011135765
322	277075.8383116516
323	277087.82488406124
324	277099.7011954203
325	277111.4685917498
326	277123.12839863193
327	277134.6819214872
328	277146.1304461186
329	277157.47523895954
330	277168.7175474324
331	277179.8586002658
332	277190.8996079203
333	277201.841762719
334	277212.68623949826
335	277223.4341956063
336	277234.08677128254
337	277244.64509006083
338	277255.11025906523
339	277265.48336912814
340	277275.7654952707
341	277285.9576968035
342	277296.06101778895
343	277306.0764871172
344	277316.00511888816
345	277325.847912653
346	277335.6058536273
347	277345.2799129466
348	277354.87104791804
349	277364.38020222046
350	277373.80830625276
351	277383.15627717716
352	277392.42501922534
353	277401.61542405357
354	277410.7283707583
355	277419.7647260565
356	277428.7253447822
357	277437.61106972955
358	277446.42273211037
359	277455.1611516132
360	277463.8271366484
361	277472.4214845486
362	277480.94498159224
363	277489.3984035468
364	277497.782515346
365	277506.09807172336
366	277514.3458170168
367	277522.5264857478
368	277530.6408021676
369	277538.68948122405
370	277546.6732278596
371	277554.59273793234
372	277562.44869766384
373	277570.2417845842
374	277577.9726668535
375	277585.6420039418
376	277593.2504466219
377	277600.798637041
378	277608.2872090473
379	277615.7167879689
380	277623.08799115795
381	277630.40142783074
382	277637.65769936197
383	277644.85739909264
384	277652.0011131721
385	277659.0894196362
386	277666.122889421
387	277673.10208612744
388	277680.0275659783
389	277686.89987824793
390	277693.71956515237
391	277700.48716201785
392	277707.2031974249
393	277713.86819322966
394	277720.4826646731
395	277727.04712070606
396	277733.5620636831
397	277740.0279897191
398	277746.44538883166
399	277752.8147448662
400	277759.13653570117
401	277765.4112331968
402	277771.6393034213
403	277777.8212068968
404	277783.9573981388
405	277790.0483263348
406	277796.0944350774
407	277802.09616261243
408	277808.0539417331
409	277813.9682000481
410	277819.8393600549
411	277825.6678389949
412	277831.45404916606
413	277837.1983978898
414	277842.90128759557
415	277848.5631159507
416	277854.18427568884
417	277859.76515508455
418	277865.3061376514
419	277870.8076023975
420	277876.2699239414
421	277881.6934722819
422	277887.0786131746
423	277892.4257081291
424	277897.73511425115
425	277903.0071846894
426	277908.24226824834
427	277913.44070984924
428	277918.60285030294
429	277923.7290265052
430	277928.8195714407
431	277933.8748142433
432	277938.8950803029
433	277943.8806913265
434	277948.83196508896
435	277953.74921608076
436	277958.63275488245
437	277963.48288874846
438	277968.2999213855
439	277973.0841530155
440	277977.83588057256
441	277982.555397481
442	277987.24299404793
443	277991.8989571386
444	277996.52357061603
445	278001.1171149568
446	278005.67986760585
447	278010.21210299904
448	278014.7140923186
449	278019.18610399996
450	278023.6284032614
451	278028.04125259677
452	278032.4249115446
453	278036.77963668853
454	278041.1056818925
455	278045.40329841047
456	278049.67273433926
457	278053.9142354969
458	278058.12804479303
459	278062.31440257066
460	278066.47354654723
461	278070.60571195977
462	278074.7111313808
463	278078.7900349904
464	278082.84265044914
465	278086.86920303927
466	278090.86991541134
467	278094.8450082671
468	278098.7946995928
469	278102.7192051908
470	278106.6187385346
471	278110.49351100286
472	278114.3437314857
473	278118.1696069279
474	278121.9713419178
475	278125.74913896015
476	278129.50319848536
477	278133.23371881485
478	278136.94089617184
479	278140.6249247199
480	278144.2859967175
481	278147.92430225894
482	278151.5400297132
483	278155.133365216
484	278158.70449332206
485	278162.2535963484
486	278165.7808550525
487	278169.28644809074
488	278172.7705524394
489	278176.23334333376
490	278179.6749940334
491	278183.09567618516
492	278186.4955596064
493	278189.8748125931
494	278193.2336014095
495	278196.5720909963
496	278199.8904444581
497	278203.18882327323
498	278206.46738724026
499	278209.7262947586
500	278212.9657025933
501	278216.1857657352
502	278219.38663787267
503	278222.5684711384
504	278225.73141604086
505	278228.8756218155
506	278232.00123593386
507	278235.10840470926
508	278238.1972728897
509	278241.2679837411
510	278244.3206792676
511	278247.35549998167
512	278250.3725851164
513	278253.3720724568
514	278256.35409862484
515	278259.3187986036
516	278262.26630638674
517	278265.19675463345
518	278268.1102745336
519	278271.0069961965
520	278273.8870484059
521	278276.7505587984
522	278279.5976535676
523	278282.42845806666
524	278285.24309620046
525	278288.0416906666
526	278290.82436319656
527	278293.5912342251
528	278296.3424230277
529	278299.07804797956
530	278301.79822608555
531	278304.50307329337
532	278307.1927045657
533	278309.86723388627
534	278312.52677383047
535	278315.17143627215
536	278317.8013317493
537	278320.4165701544
538	278323.0172600478
539	278325.60350890923
540	278328.17542362685
541	278330.7331097275
542	278333.27667200664
543	278335.8062141959
544	278338.32183898485
545	278340.8236482777
546	278343.31174303393
547	278345.7862233309
548	278348.24718795024
549	278350.694735436
550	278353.12896294706
551	278355.54996686376
552	278357.95784282027
553	278360.3526853568
554	278362.73458858364
555	278365.103645278
556	278367.4599475911
557	278369.80358706426
558	278372.13465402584
559	278374.4532382549
560	278376.75942869304
561	278379.053313482
562	278381.334979905
563	278383.6045145212
564	278385.8620032444
565	278388.1075311145
566	278390.34118231805
567	278392.5630404696
568	278394.7731884626
569	278396.9717083332
570	278399.1586814552
571	278401.33418856823
572	278403.49830964266
573	278405.6511238576
574	278407.79270994064
575	278409.92314557265
576	278412.0425082633
577	278414.1508745011
578	278416.24831988727
579	278418.3349201333
580	278420.4107496795
581	278422.4758822628
582	278424.53039156855
583	278426.5743499788
584	278428.60782980104
585	278430.6309024639
586	278432.6436387576
587	278434.646108918
588	278436.63838280586
589	278438.62052920205
590	278440.59261688776
591	278442.55471352994
592	278444.50688675966
593	278446.4492029105
594	278448.38172867335
595	278450.3045294767
596	278452.2176703141
597	278454.12121597613
598	278456.0152303831
599	278457.8997771011
600	278459.7749190048
601	278461.64071857004
602	278463.4972377083
603	278465.34453794
604	278467.182680075
605	278469.0117244459
606	278470.8317311296
607	278472.64275955345
608	278474.44486839464
609	278476.23811645707
610	278478.02256142267
611	278479.7982609059
612	278481.5652719905
613	278483.3236510394
614	278485.07345444337
615	278486.81473764556
616	278488.5475558424
617	278490.27196398703
618	278491.9880160842
619	278493.69576641906
620	278495.395267948
621	278497.0865741165
622	278498.7697371737
623	278500.4448095718
624	278502.11184282665
625	278503.77088847803
626	278505.42199725145
627	278507.06521981396
628	278508.7006062857
629	278510.32820625685
630	278511.94806930516
631	278513.5602440257
632	278515.1647792486
633	278516.7617231322
634	278518.35112325725
635	278519.9330272597
636	278521.507482088
637	278523.0745345514
638	278524.6342306678
639	278526.1866166473
640	278527.73173805815
641	278529.2696399783
642	278530.80036747607
643	278532.32396507665
644	278533.84047674696
645	278535.349946696
646	278536.85241808515
647	278538.34793435625
648	278539.83653826424
649	278541.31827222736
650	278542.79317857686
651	278544.2612991716
652	278545.7226754223
653	278547.1773486516
654	278548.62535984244
655	278550.0667495383
656	278551.50155787304
657	278552.9298251904
658	278554.3515907989
659	278555.76689433743
660	278557.17577483814
661	278558.5782709895
662	278559.97442139254
663	278561.3642642525
664	278562.74783756223
665	278564.12517863803
666	278565.4963252412
667	278566.8613142268
668	278568.2201825575
669	278569.5729664109
670	278570.919702492
671	278572.2604265554
672	278573.595174228
673	278574.9239812067
674	278576.2468824357
675	278577.56391290954
676	278578.87510751694
677	278580.1805003915
678	278581.4801258598
679	278582.77401784394
680	278584.0622097468
681	278585.3447353921
682	278586.621627646
683	278587.89291958837
684	278589.158643789
685	278590.418832945
686	278591.6735189097
687	278592.92273403716
688	278594.16650971543
689	278595.40487780934
690	278596.6378693925
691	278597.8655155606
692	278599.08784717205
693	278600.3048950271
694	278601.51668911095
695	278602.72326012404
696	278603.9246375577
697	278605.1208514886
698	278606.3119312394
699	278607.49790638156
700	278608.67880577594
701	278609.8546584329
702	278611.0254931674
703	278612.19133822754
704	278613.35222220386
705	278614.50817315234
706	278615.65921871294
707	278616.8053868362
708	278617.9467049837
709	278619.08320036903
710	278620.2149003949
711	278621.3418316034
712	278622.4640208676
713	278623.5814950186
714	278624.694280099
715	278625.80240247684
716	278626.90588806855
717	278628.0047626498
718	278629.09905208537
719	278630.1887816251
720	278631.2739765583
721	278632.3546622121
722	278633.43086331454
723	278634.5026047781
724	278635.5699109861
725	278636.6328067351
726	278637.6913159336
727	278638.7454628763
728	278639.795271353
729	278640.8407651517
730	278641.8819680674
731	278642.9189034658
732	278643.9515943554
733	278644.9800641627
734	278646.0043358871
735	278647.02443205885
736	278648.0403754952
737	278649.0521889512
738	278650.0598942613
739	278651.0635138999
740	278652.0630700361
741	278653.0585842968
742	278654.0500787754
743	278655.0375747365
744	278656.0210938394
745	278657.00065730256
746	278657.9762864596
