Ab initio lattice heat capacity of optical phonons from Sukanyas monolayer DFT
Temperature [K]	C_p [J/m^3K]
521	1680084.5695955607
522	1680255.51920781
523	1680425.5187215877
524	1680594.5751058976
525	1680762.6952682454
526	1680929.8860525296
527	1681096.154241238
528	1681261.506555743
529	1681425.9496560397
530	1681589.4901433692
531	1681752.1345584719
532	1681913.88938424
533	1682074.7610448506
534	1682234.75590835
535	1682393.8802845075
536	1682552.1404273198
537	1682709.5425360384
538	1682866.0927529905
539	1683021.79716892
540	1683176.661817335
541	1683330.6926814467
542	1683483.8956896658
543	1683636.2767189478
544	1683787.841594915
545	1683938.5960917438
546	1684088.5459326091
547	1684237.69679149
548	1684386.0542924337
549	1684533.624010075
550	1684680.4114716465
551	1684826.4221547935
552	1684971.6614906974
553	1685116.1348638502
554	1685259.847611103
555	1685402.8050241484
556	1685545.0123485255
557	1685686.474785183
558	1685827.1974897909
559	1685967.1855745143
560	1686106.4441067267
561	1686244.9781118385
562	1686382.792571493
563	1686519.892425009
564	1686656.282569877
565	1686791.9678618424
566	1686926.953115892
567	1687061.2431055398
568	1687194.8425645567
569	1687327.7561869612
570	1687459.9886262515
571	1687591.5444976736
572	1687722.428378068
573	1687852.6448044588
574	1687982.1982772993
575	1688111.0932587723
576	1688239.3341743543
577	1688366.9254116558
578	1688493.8713228696
579	1688620.176223776
580	1688745.8443935434
581	1688870.8800780345
582	1688995.2874851394
583	1689119.0707904724
584	1689242.2341338496
585	1689364.7816218147
586	1689486.7173269668
587	1689608.0452881642
588	1689728.7695114953
589	1689848.893970548
590	1689968.4226064817
591	1690087.359326988
592	1690205.708010808
593	1690323.4725021082
594	1690440.6566159967
595	1690557.264135842
596	1690673.2988141656
597	1690788.7643742752
598	1690903.6645082068
599	1691018.0028792208
600	1691131.7831207048
601	1691245.0088368866
602	1691357.6836037138
603	1691469.8109675366
604	1691581.3944472906
605	1691692.4375331157
606	1691802.9436884306
607	1691912.9163480308
608	1692022.3589194806
609	1692131.2747845321
610	1692239.6672977912
611	1692347.5397848026
612	1692454.8955498291
613	1692561.7378661432
614	1692668.069984891
615	1692773.8951296122
616	1692879.2164996972
617	1692984.0372683783
618	1693088.3605852984
619	1693192.1895748512
620	1693295.5273370745
621	1693398.3769482716
622	1693500.7414602558
623	1693602.6239015341
624	1693704.0272775884
625	1693804.954569624
626	1693905.40873656
627	1694005.3927145568
628	1694104.9094166453
629	1694203.961733859
630	1694302.5525350014
631	1694400.6846668993
632	1694498.36095376
633	1694595.584200087
634	1694692.3571869961
635	1694788.6826751733
636	1694884.5634057592
637	1694980.002095495
638	1695075.0014444087
639	1695169.56412995
640	1695263.6928092607
641	1695357.3901198828
642	1695450.6586805712
643	1695543.501087522
644	1695635.9199205553
645	1695727.9177378702
646	1695819.497079628
647	1695910.660466769
648	1696001.410400543
649	1696091.7493651747
650	1696181.6798245995
651	1696271.2042257185
652	1696360.32499651
653	1696449.044547677
654	1696537.36527046
655	1696625.2895404678
656	1696712.819714491
657	1696799.9581321776
658	1696886.7071157
659	1696973.068970542
660	1697059.045984858
661	1697144.6404312165
662	1697229.854563191
663	1697314.690619683
664	1697399.150823447
665	1697483.2373795481
666	1697566.9524778265
667	1697650.2982922392
668	1697733.2769811386
669	1697815.8906862992
670	1697898.1415351934
671	1697980.0316391666
672	1698061.5630934788
673	1698142.7379806917
674	1698223.5583654656
675	1698304.0263003567
676	1698384.143820952
677	1698463.912949243
678	1698543.3356925363
679	1698622.4140441942
680	1698701.149982455
681	1698779.5454726545
682	1698857.6024647267
683	1698935.3228954778
684	1699012.7086883048
685	1699089.7617524152
686	1699166.4839833672
687	1699242.877264022
688	1699318.9434627085
689	1699394.6844360859
690	1699470.1020261094
691	1699545.1980636606
692	1699619.9743650805
693	1699694.432734139
694	1699768.574963369
695	1699842.402831386
696	1699915.918104383
697	1699989.1225369184
698	1700062.0178718201
699	1700134.605837319
700	1700206.8881521681
701	1700278.8665226297
702	1700350.5426423913
703	1700421.9181937964
704	1700492.9948476553
705	1700563.774263114
706	1700634.2580879687
707	1700704.4479586557
708	1700774.3454997607
709	1700843.9523267893
710	1700913.2700404222
711	1700982.3002345948
712	1701051.0444889937
713	1701119.504374306
714	1701187.6814502417
715	1701255.5772652803
716	1701323.1933584507
717	1701390.5312567258
718	1701457.5924778057
719	1701524.3785291014
720	1701590.8909080806
721	1701657.1311009834
722	1701723.1005843154
723	1701788.800826507
724	1701854.2332825977
725	1701919.399401188
726	1701984.300619138
727	1702048.938364743
728	1702113.314055468
729	1702177.4291013158
730	1702241.2849003747
731	1702304.8828432693
732	1702368.2243113662
733	1702431.3106751402
734	1702494.1432976003
735	1702556.7235317505
736	1702619.052723276
737	1702681.13220587
738	1702742.963307547
739	1702804.5473459226
740	1702865.8856300223
741	1702926.9794609472
742	1702987.8301300039
743	1703048.4389215806
744	1703108.8071100558
745	1703168.9359626435
746	1703228.8267378332
747	1703288.4806861244
748	1703347.899049105
749	1703407.0830610031
750	1703466.0339477248
751	1703524.752927337
752	1703583.241210091
753	1703641.4999979748
754	1703699.5304854212
755	1703757.3338590974
756	1703814.9112985502
757	1703872.2639742568
758	1703929.3930512401
759	1703986.2996847522
760	1704042.9850242415
761	1704099.4502119217
762	1704155.6963803326
763	1704211.724658514
764	1704267.536165092
765	1704323.1320124357
766	1704378.5133059395
767	1704433.6811457141
768	1704488.6366214298
769	1704543.3808181318
770	1704597.9148134266
771	1704652.2396787566
772	1704706.3564769563
773	1704760.2662664312
774	1704813.9700967106
775	1704867.469013106
776	1704920.7640515675
777	1704973.856244205
778	1705026.746614226
779	1705079.4361803944
780	1705131.925954009
781	1705184.2169399844
782	1705236.310137664
783	1705288.206539998
784	1705339.9071323606
785	1705391.4128958918
786	1705442.7248048605
787	1705493.8438274588
788	1705544.770925287
789	1705595.5070549906
790	1705646.0531664565
791	1705696.4102048133
792	1705746.5791071788
793	1705796.560807987
794	1705846.356232496
795	1705895.9663044102
796	1705945.391935941
797	1705994.6340404633
798	1706043.6935200002
799	1706092.571274165
800	1706141.2681966955
801	1706189.7851752297
802	1706238.1230917939
803	1706286.2828237773
804	1706334.2652433354
805	1706382.0712159928
806	1706429.7016039018
807	1706477.1572618152
808	1706524.4390414765
809	1706571.5477885825
810	1706618.484341968
811	1706665.2495388107
812	1706711.8442095318
813	1706758.269177732
814	1706804.5252645644
815	1706850.613286655
816	1706896.5340523566
817	1706942.2883695913
818	1706987.8770380497
819	1707033.3008533253
820	1707078.5606076124
821	1707123.657086812
822	1707168.5910730711
823	1707213.363343473
824	1707257.9746712008
825	1707302.4258231886
826	1707346.7175634776
827	1707390.8506513736
828	1707434.825840617
829	1707478.6438808907
830	1707522.3055185573
831	1707565.8114941965
832	1707609.1625441534
833	1707652.3594021809
834	1707695.4027951406
835	1707738.2934471888
836	1707781.0320772831
837	1707823.6194021227
838	1707866.0561316917
839	1707908.342973892
840	1707950.480629994
841	1707992.4698010082
842	1708034.3111795858
843	1708076.0054576024
844	1708117.553321717
845	1708158.9554528962
846	1708200.2125319801
847	1708241.3252327149
848	1708282.2942259295
849	1708323.1201779004
850	1708363.8037535287
851	1708404.3456102721
852	1708444.7464044238
853	1708485.0067880119
854	1708525.1274079706
855	1708565.1089094868
856	1708604.9519325187
857	1708644.6571147065
858	1708684.2250879484
859	1708723.6564830057
860	1708762.951925241
861	1708802.1120369583
862	1708841.1374382593
863	1708880.028743007
864	1708918.786563992
865	1708957.4115084186
866	1708995.9041828276
867	1709034.2651878248
868	1709072.495121528
869	1709110.5945790382
870	1709148.5641507702
871	1709186.4044261142
872	1709224.1159882396
873	1709261.6994200174
874	1709299.1552989555
875	1709336.4841990317
876	1709373.6866942756
877	1709410.7633505298
878	1709447.7147346307
879	1709484.5414079987
880	1709521.2439308353
881	1709557.8228564751
882	1709594.2787408328
883	1709630.6121317567
884	1709666.8235750543
885	1709702.9136166587
886	1709738.8827950251
887	1709774.731648768
888	1709810.4607129036
889	1709846.070518293
890	1709881.5615932466
891	1709916.93446508
892	1709952.1896546276
893	1709987.3276835044
894	1710022.3490687679
895	1710057.2543239547
896	1710092.0439604034
897	1710126.7184884085
898	1710161.2784112515
899	1710195.724234698
900	1710230.0564571344
901	1710264.275577907
902	1710298.3820899657
903	1710332.3764876458
904	1710366.259258646
905	1710400.0308906687
906	1710433.691868811
907	1710467.2426724809
908	1710500.6837830362
909	1710534.015675149
910	1710567.2388241203
911	1710600.3536998664
912	1710633.3607712965
913	1710666.2605059478
914	1710699.053365821
915	1710731.7398135527
916	1710764.3203067651
917	1710796.7953015477
918	1710829.1652533943
919	1710861.4306117753
920	1710893.5918265928
921	1710925.6493445924
922	1710957.6036091794
923	1710989.4550627407
924	1711021.2041445454
925	1711052.8512913745
926	1711084.3969396485
927	1711115.8415190598
928	1711147.185461588
929	1711178.429195622
930	1711209.573145198
931	1711240.6177355347
932	1711271.5633858405
933	1711302.410516562
934	1711333.1595429694
935	1711363.8108810796
936	1711394.364942978
937	1711424.8221372329
938	1711455.1828741764
939	1711485.4475583583
940	1711515.6165935919
941	1711545.6903818357
942	1711575.6693220416
943	1711605.5538122482
944	1711635.3442482552
945	1711665.0410218234
946	1711694.6445253687
947	1711724.1551485893
948	1711753.573277344
949	1711782.89929765
950	1711812.1335921865
951	1711841.276543487
952	1711870.3285283274
953	1711899.2899271138
954	1711928.1611123534
955	1711956.9424590445
956	1711985.6343383798
957	1712014.2371192176
958	1712042.751170051
959	1712071.1768560132
960	1712099.5145418507
961	1712127.764588496
962	1712155.9273565253
963	1712184.0032047392
964	1712211.992489139
965	1712239.8955636774
966	1712267.7127835308
967	1712295.4444968374
968	1712323.0910545664
969	1712350.6528040208
970	1712378.1300913156
971	1712405.5232589175
972	1712432.8326502773
973	1712460.058605423
974	1712487.201463758
975	1712514.2615617316
976	1712541.2392348421
977	1712568.1348159718
978	1712594.9486386157
979	1712621.6810316602
980	1712648.3323250355
981	1712674.9028447368
982	1712701.392916326
983	1712727.8028634156
984	1712754.1330083043
985	1712780.3836717922
986	1712806.5551720562
987	1712832.647826537
988	1712858.6619512772
989	1712884.5978604234
990	1712910.4558651117
991	1712936.2362791174
992	1712961.939409105
993	1712987.565564743
994	1713013.1150506937
995	1713038.5881742479
996	1713063.9852372792
997	1713089.30654083
998	1713114.5523871363
999	1713139.723073303
